# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1780627013.67721 0.006544 0.016747 -0.002677 -0.529477 0.437163 -0.535975 0.491197 0.0051182252 0.0007626313 0.0000827720 0.0030233720 0.0002092702 0.0058801518 0.0200022659 0.0002725150 0.0001290533 0.0218130226 -0.0007822523 0.0174132950
1780627013.71054 0.008484 0.020867 -0.003579 -0.530854 0.436546 -0.535446 0.490835 0.0052326209 0.0007709947 0.0000830777 0.0031463818 0.0002086494 0.0060128390 0.0289453730 0.0003053670 0.0002206327 0.0308724190 -0.0008061961 0.0249629878
1780627013.74394 0.010621 0.025070 -0.004394 -0.532575 0.435294 -0.536069 0.489400 0.0053554628 0.0007864076 0.0000813707 0.0032881022 0.0002104772 0.0061617440 0.0397024899 0.0003445118 0.0003282465 0.0417706597 -0.0008353754 0.0339924648
1780627013.77719 0.012966 0.029509 -0.005194 -0.533512 0.434677 -0.536593 0.488353 0.0054937624 0.0007982126 0.0000786278 0.0034397093 0.0002147849 0.0063256723 0.0522715701 0.0003900833 0.0004502579 0.0545078071 -0.0008713705 0.0444752426
1780627013.81052 0.015543 0.034329 -0.005926 -0.533054 0.434895 -0.537193 0.487999 0.0056499027 0.0008045414 0.0000736232 0.0036009518 0.0002246911 0.0065053798 0.0668203412 0.0004428395 0.0005864351 0.0692563066 -0.0009166535 0.0565225161
1780627013.84385 0.018348 0.039596 -0.006653 -0.532484 0.435354 -0.537468 0.487910 0.0058211163 0.0008094602 0.0000687763 0.0037738098 0.0002346430 0.0067008518 0.0834297092 0.0005032482 0.0007354229 0.0861010127 -0.0009738883 0.0701689052
1780627013.87717 0.021341 0.045334 -0.007351 -0.531615 0.435788 -0.538130 0.487739 0.0060053267 0.0008152091 0.0000623486 0.0039604917 0.0002476550 0.0069118331 0.1022108459 0.0005718815 0.0008960396 0.1051578496 -0.0010461338 0.0854697523
1780627013.91051 0.024550 0.051696 -0.008175 -0.531876 0.436201 -0.537895 0.487345 0.0062026952 0.0008226007 0.0000589981 0.0041599671 0.0002535755 0.0071393648 0.1232952366 0.0006493948 0.0010668319 0.1265637946 -0.0011375528 0.1024939168
1780627013.94385 0.028049 0.058794 -0.009042 -0.533268 0.435670 -0.537338 0.486913 0.0064109876 0.0008346359 0.0000575902 0.0043752920 0.0002570041 0.0073826275 0.1468233770 0.0007364850 0.0012457777 0.1504655762 -0.0012530111 0.1213119125
1780627013.97716 0.031793 0.066512 -0.009873 -0.534843 0.434295 -0.537158 0.486613 0.0066303975 0.0008500725 0.0000553848 0.0046064552 0.0002641064 0.0076407720 0.1729243797 0.0008337838 0.0014309341 0.1769986214 -0.0013967662 0.1419805906
1780627014.01048 0.035663 0.074660 -0.010708 -0.535832 0.433182 -0.537885 0.485713 0.0068616186 0.0008669059 0.0000499544 0.0048524473 0.0002752314 0.0079147524 0.2017865049 0.0009420967 0.0016212543 0.2063586512 -0.0015728127 0.1646000756
1780627014.04381 0.039781 0.083399 -0.011758 -0.535186 0.433386 -0.538823 0.485203 0.0071112171 0.0008773391 0.0000412114 0.0051068855 0.0002918249 0.0082043138 0.2335822613 0.0010621915 0.0018137774 0.2387260681 -0.0017879381 0.1892558397
1780627014.07715 0.044378 0.093193 -0.013155 -0.533791 0.434426 -0.538274 0.486418 0.0073830490 0.0008789683 0.0000347803 0.0053663583 0.0003089171 0.0085092978 0.2685102840 0.0011948992 0.0020039853 0.2743089462 -0.0020532725 0.2160497089
1780627014.11046 0.049563 0.104072 -0.014722 -0.533164 0.435503 -0.536663 0.487919 0.0076696326 0.0008802391 0.0000320440 0.0056366908 0.0003204127 0.0088304981 0.3067399388 0.0013409733 0.0021870118 0.3132861982 -0.0023775331 0.2450524864
